1390498966.179 |      0 | 172.17.12.200 | TCP_DENIED/407 | 5014 | GET | http://ok-portal.mail.ru/NaviData? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://www.odnoklassniki.ru/profile/180717794
1390498966.203 |  13994 | 172.17.12.200 | TCP_MISS/200 | 541 | POST | http://q81.queuev4.vk.com/im035 | bav005 | HIER_DIRECT/87.240.131.230 | text/javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q81.queuev4.vk.com/q_frame.php?7
1390498966.275 |     88 | 172.17.12.200 | TCP_MISS/200 | 960 | GET | http://ok-portal.mail.ru/NaviData? | bav005 | HIER_DIRECT/94.100.180.59 | application/x-javascript | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://www.odnoklassniki.ru/profile/180717794
1390498967.179 |      0 | 172.17.12.200 | TCP_DENIED/407 | 4913 | POST | http://q81.queuev4.vk.com/im035 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q81.queuev4.vk.com/q_frame.php?7
1390498967.197 |      0 | 172.17.12.200 | TCP_DENIED/407 | 5245 | POST | http://q81.queuev4.vk.com/im035 | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 YaBrowser/13.10.1500.9323 Safari/537.36" | http://q81.queuev4.vk.com/q_frame.php?7
1390498967.399 |      0 | 172.17.9.61 | TCP_DENIED/407 | 3870 | CONNECT | client96.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498967.420 |      0 | 172.17.9.61 | TCP_DENIED/407 | 3870 | CONNECT | client90.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498968.418 |      0 | 172.30.10.61 | TCP_DENIED/407 | 3898 | CONNECT | 93.95.99.232:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498968.569 |      0 | 172.17.11.27 | TCP_DENIED/407 | 3871 | CONNECT | client30.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498968.592 |      0 | 172.17.11.27 | TCP_DENIED/407 | 3871 | CONNECT | client49.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498968.668 |      0 | 172.17.11.27 | TCP_DENIED/407 | 4672 | GET | http://vk.com/feed2.php | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498968.687 |      0 | 172.17.11.27 | TCP_DENIED/407 | 5004 | GET | http://vk.com/feed2.php | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498968.812 |    113 | 172.17.11.27 | TCP_MISS/200 | 569 | GET | http://vk.com/feed2.php | tia001 | HIER_DIRECT/87.240.131.97 | text/plain | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498969.343 |      0 | 172.17.11.46 | TCP_DENIED/407 | 3871 | CONNECT | client83.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498969.364 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4593 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
1390498969.366 |      0 | 172.17.11.46 | TCP_DENIED/407 | 3871 | CONNECT | client34.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498969.376 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4925 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
